Calcium_bc,Input,time [s]
0.070362,0,0
0.0098752,0,0.34428
0.0022133,0,0.68856
0.05353,0,1.0328
0.054777,0,1.3771
0.040634,0,1.7214
0.0014633,0,2.0657
0.09682,0,2.4099
0.036972,0,2.7542
0.051603,0,3.0985
0.11167,0,3.4428
0.050558,0,3.7871
0.079681,0,4.1313
0.09852,0,4.4756
0.082305,0,4.8199
0.10548,0,5.1642
0.12115,0,5.5084
0.097028,0,5.8527
0.11808,0,6.197
0.10962,0,6.5413
0.072676,0,6.8856
0.088249,0,7.2298
0.078686,0,7.5741
0.025637,0,7.9184
0.09395,0,8.2627
0.10911,0,8.6069
0.080313,0,8.9512
0.084555,0,9.2955
0.076155,0,9.6398
0.13708,0,9.9841
0.079844,0,10.328
0.082711,0,10.673
0.0788,0,11.017
0.13649,0,11.361
0.13342,0,11.705
0.11293,0,12.05
0.1225,0.016393,12.394
0.050591,0.016393,12.738
0.091478,0.016393,13.083
0.095538,0.016393,13.427
0.084645,0.016393,13.771
0.043595,0.016393,14.115
0.10123,0.016393,14.46
0.061945,0.016393,14.804
0.090789,0.016393,15.148
0.083932,0.016393,15.493
0.062863,0.016393,15.837
0.07171,0.016393,16.181
0.098742,0.016393,16.525
0.095765,0.016393,16.87
0.05601,0.016393,17.214
0.04146,0.016393,17.558
0.095205,0.016393,17.902
0.088753,0.016393,18.247
0.03901,0.016393,18.591
0.1168,0.016393,18.935
0.071653,0.016393,19.28
0.080169,0.016393,19.624
0.082689,0.016393,19.968
0.092681,0.016393,20.312
0.020822,0.016393,20.657
0.042183,0.016393,21.001
0.067652,0.016393,21.345
0.04708,0.016393,21.69
0.083777,0.016393,22.034
0.11973,0.016393,22.378
0.070096,0.016393,22.722
0.064211,0.016393,23.067
0.13533,0.016393,23.411
0.12188,0.016393,23.755
0.082079,0.016393,24.099
0.1038,0.016393,24.444
0.13995,0.016393,24.788
0.15113,0.016393,25.132
0.10452,0.016393,25.477
0.14846,0.016393,25.821
0.1337,0.016393,26.165
0.13961,0.016393,26.509
0.1923,0.016393,26.854
0.14081,0.016393,27.198
0.18931,0.016393,27.542
0.1773,0.016393,27.887
0.23709,0.016393,28.231
0.40629,0.016393,28.575
0.39336,0.016393,28.919
0.4615,0.016393,29.264
0.53828,0.016393,29.608
0.50084,0.016393,29.952
0.63654,0.016393,30.296
0.67674,0.016393,30.641
0.59357,0.016393,30.985
0.59446,0.016393,31.329
0.4895,0.016393,31.674
0.53939,0.016393,32.018
0.49688,0.016393,32.362
0.44783,0.016393,32.706
0.36695,0.016393,33.051
0.35857,0.016393,33.395
0.19489,0.016393,33.739
0.16784,0.016393,34.084
0.233,0.016393,34.428
0.22108,0.016393,34.772
0.16373,0.016393,35.116
0.11566,0.016393,35.461
0.12084,0.016393,35.805
0.12457,0.016393,36.149
0.088503,0.016393,36.493
0.060389,0.016393,36.838
0.11595,0.016393,37.182
0.22254,0.016393,37.526
0.34396,0.016393,37.871
0.35935,0.016393,38.215
0.41467,0.016393,38.559
0.45852,0.016393,38.903
0.43224,0.016393,39.248
0.44865,0.016393,39.592
0.34998,0.016393,39.936
0.39324,0.016393,40.281
0.36787,0.016393,40.625
0.36776,0.016393,40.969
0.32069,0.016393,41.313
0.3072,0.016393,41.658
0.29055,0.016393,42.002
0.20107,0.016393,42.346
0.16031,0.016393,42.69
0.11987,0.016393,43.035
0.12188,0.016393,43.379
0.096121,0.016393,43.723
0.12422,0.016393,44.068
0.10649,0.016393,44.412
0.1257,0.016393,44.756
0.12271,0.016393,45.1
0.094801,0.016393,45.445
0.032489,0.016393,45.789
0.17653,0.016393,46.133
0.16332,0.016393,46.478
0.1286,0.016393,46.822
0.12873,0.016393,47.166
0.078486,0.016393,47.51
0.091331,0.016393,47.855
0.091573,0.016393,48.199
0.094915,0.016393,48.543
0.10947,0.016393,48.887
0.069076,0.016393,49.232
0.11711,0.016393,49.576
0.071261,0.016393,49.92
0.092594,0.016393,50.265
0.069284,0.016393,50.609
0.10034,0.016393,50.953
0.13437,0.016393,51.297
0.06711,0.016393,51.642
0.11117,0.016393,51.986
0.090993,0.016393,52.33
0.13953,0.016393,52.675
0.091122,0.016393,53.019
0.099444,0.016393,53.363
0.13953,0.016393,53.707
0.16476,0.016393,54.052
0.15105,0.016393,54.396
0.11269,0.016393,54.74
0.13633,0.016393,55.084
0.16714,0.016393,55.429
0.22711,0.016393,55.773
0.20852,0.016393,56.117
0.29426,0.016393,56.462
0.32524,0.016393,56.806
0.3462,0.016393,57.15
0.48326,0.016393,57.494
0.61783,0.016393,57.839
0.74238,0.016393,58.183
0.85104,0.016393,58.527
0.80885,0.016393,58.872
0.80913,0.016393,59.216
0.76885,0.016393,59.56
0.8127,0.016393,59.904
0.72927,0.016393,60.249
0.75535,0.016393,60.593
0.60417,0.016393,60.937
0.56569,0.016393,61.281
0.57705,0.016393,61.626
0.528,0.016393,61.97
0.47956,0.016393,62.314
0.38653,0.016393,62.659
0.29581,0.016393,63.003
0.25867,0.016393,63.347
0.25874,0.016393,63.691
0.20778,0.016393,64.036
0.15186,0.016393,64.38
0.1772,0.016393,64.724
0.12032,0.016393,65.069
0.1157,0.016393,65.413
0.1579,0.016393,65.757
0.07697,0.016393,66.101
0.092384,0.016393,66.446
0.11128,0.016393,66.79
0.090518,0.016393,67.134
0.051842,0.016393,67.478
0.076571,0.016393,67.823
0.036965,0.016393,68.167
0.091258,0.016393,68.511
0.032427,0.016393,68.856
0.032043,0.016393,69.2
0.041436,0.016393,69.544
-0.013272,0.016393,69.888
0.071583,0.016393,70.233
0.061282,0.016393,70.577
0.04122,0.016393,70.921
0.040843,0.016393,71.266
0.055771,0.016393,71.61
0.0051692,0.016393,71.954
0.056446,0.016393,72.298
0.0018381,0.016393,72.643
0.10101,0.016393,72.987
0.07728,0.016393,73.331
-0.0057754,0.016393,73.675
0.038395,0.016393,74.02
0.044264,0.016393,74.364
0.012745,0.016393,74.708
0.017396,0.016393,75.053
0.030308,0.016393,75.397
0.062531,0,75.741
0.0014086,0,76.085
-0.0037958,0,76.43
-0.0021054,0,76.774
0.017607,0,77.118
-0.042016,0,77.463
0.015959,0,77.807
-0.042072,0,78.151
0.031676,0,78.495
0.01835,0,78.84
0.081321,0,79.184
-0.026615,0,79.528
0.0584,0,79.872
0.037062,0,80.217
0.02881,0,80.561
-0.001782,0,80.905
-0.011674,0,81.25
0.00057224,0,81.594
0.026319,0,81.938
0.024212,0,82.282
-0.0077705,0,82.627
0.053302,0,82.971
0.10789,0,83.315
0.017463,0,83.66
0.075653,0,84.004
0.081425,0,84.348
0.021478,0,84.692
0.046818,0,85.037
0.04143,0,85.381
0.14096,0,85.725
0.16614,0,86.069
0.14086,0,86.414
0.13248,0,86.758
0.17297,0,87.102
0.14188,0,87.447
0.19688,0,87.791
0.23068,0,88.135
0.211,0,88.479
0.23262,0,88.824
0.1266,0,89.168
0.22094,0,89.512
0.16928,0,89.857
0.18077,0,90.201
0.19367,0,90.545
0.19097,0,90.889
0.13751,0,91.234
0.1942,0,91.578
0.19041,0,91.922
0.16331,0,92.266
0.12379,0,92.611
0.11528,0,92.955
0.080654,0,93.299
0.049245,0,93.644
0.068108,0,93.988
0.13996,0,94.332
0.060542,0,94.676
0.08972,0,95.021
0.086015,0,95.365
0.067271,0,95.709
0.096565,0,96.054
0.079272,0,96.398
0.017018,0,96.742
0.045835,0,97.086
0.0949,0,97.431
0.094591,0,97.775
0.077455,0,98.119
0.051705,0,98.464
0.014281,0,98.808
0.016259,0,99.152
0.097784,0,99.496
0.029359,0,99.841
0.066093,0,100.18
0.093652,0,100.53
0.10319,0,100.87
0.07269,0,101.22
0.030838,0,101.56
-0.012288,0,101.91
0.054017,0,102.25
0.0017944,0,102.59
0.0289,0,102.94
0.19172,0,103.28
0.24072,0,103.63
0.16428,0,103.97
0.21543,0,104.32
0.17364,0,104.66
0.16984,0,105
0.23955,0,105.35
0.1979,0,105.69
0.17595,0,106.04
0.14978,0,106.38
0.27372,0,106.73
0.22703,0,107.07
0.23351,0,107.41
0.26272,0,107.76
0.2422,0,108.1
0.20485,0,108.45
0.24293,0,108.79
0.26232,0,109.14
0.25704,0,109.48
0.2775,0,109.82
0.2147,0,110.17
0.19755,0,110.51
0.20461,0,110.86
0.2492,0,111.2
0.22022,0,111.55
0.26369,0,111.89
0.19869,0,112.23
0.22853,0,112.58
0.18384,0.013333,112.92
0.21801,0.013333,113.27
0.22847,0.013333,113.61
0.21706,0.013333,113.96
0.21057,0.013333,114.3
0.21093,0.013333,114.64
0.23213,0.013333,114.99
0.25871,0.013333,115.33
0.1743,0.013333,115.68
0.13489,0.013333,116.02
0.18635,0.013333,116.37
0.17794,0.013333,116.71
0.20549,0.013333,117.05
0.23199,0.013333,117.4
0.19914,0.013333,117.74
0.21985,0.013333,118.09
0.18326,0.013333,118.43
0.22725,0.013333,118.78
0.22345,0.013333,119.12
0.23308,0.013333,119.46
0.23613,0.013333,119.81
0.17527,0.013333,120.15
0.18949,0.013333,120.5
0.2084,0.013333,120.84
0.32093,0.013333,121.19
0.2577,0.013333,121.53
0.25747,0.013333,121.87
0.33234,0.013333,122.22
0.34764,0.013333,122.56
0.33477,0.013333,122.91
0.32699,0.013333,123.25
0.34951,0.013333,123.6
0.40738,0.013333,123.94
0.35655,0.013333,124.28
0.41402,0.013333,124.63
0.34523,0.013333,124.97
0.36842,0.013333,125.32
0.3314,0.013333,125.66
0.30504,0.013333,126.01
0.37369,0.013333,126.35
0.40327,0.013333,126.69
0.36387,0.013333,127.04
0.6716,0.013333,127.38
0.74323,0.013333,127.73
0.84687,0.013333,128.07
0.89121,0.013333,128.42
0.85824,0.013333,128.76
0.93263,0.013333,129.1
0.92222,0.013333,129.45
0.80743,0.013333,129.79
0.8044,0.013333,130.14
0.73856,0.013333,130.48
0.69961,0.013333,130.83
0.57751,0.013333,131.17
0.5793,0.013333,131.51
0.51882,0.013333,131.86
0.53777,0.013333,132.2
0.4811,0.013333,132.55
0.41369,0.013333,132.89
0.39238,0.013333,133.24
0.31225,0.013333,133.58
0.3116,0.013333,133.92
0.33218,0.013333,134.27
0.28822,0.013333,134.61
0.29541,0.013333,134.96
0.1223,0.013333,135.3
0.16724,0.013333,135.65
0.13449,0.013333,135.99
0.13352,0.013333,136.33
0.091978,0.013333,136.68
0.079903,0.013333,137.02
0.094048,0.013333,137.37
0.098964,0.013333,137.71
0.15175,0.013333,138.06
0.11017,0.013333,138.4
0.093143,0.013333,138.74
0.094615,0.013333,139.09
0.13435,0.013333,139.43
0.13956,0.013333,139.78
0.071965,0.013333,140.12
0.1061,0.013333,140.47
0.08826,0.013333,140.81
0.10965,0.013333,141.15
0.1203,0.013333,141.5
0.053504,0.013333,141.84
0.13052,0.013333,142.19
0.10386,0.013333,142.53
0.18684,0.013333,142.88
0.13629,0.013333,143.22
0.11443,0.013333,143.56
0.085541,0.013333,143.91
0.15452,0.013333,144.25
0.13641,0.013333,144.6
0.089482,0.013333,144.94
0.19496,0.013333,145.29
0.13114,0.013333,145.63
0.11073,0.013333,145.97
0.17463,0.013333,146.32
0.1984,0.013333,146.66
0.14688,0.013333,147.01
0.18344,0.013333,147.35
0.14653,0.013333,147.7
0.20903,0.013333,148.04
0.26741,0.013333,148.38
0.33304,0.013333,148.73
0.3278,0.013333,149.07
0.37267,0.013333,149.42
0.44475,0.013333,149.76
0.49416,0.013333,150.11
0.54859,0.013333,150.45
0.53676,0.013333,150.79
0.54709,0.013333,151.14
0.64764,0.013333,151.48
0.70614,0.013333,151.83
0.79538,0.013333,152.17
0.89049,0.013333,152.52
0.87048,0.013333,152.86
0.854,0.013333,153.2
0.86255,0.013333,153.55
0.80885,0.013333,153.89
0.79181,0.013333,154.24
0.60095,0.013333,154.58
0.61573,0.013333,154.93
0.55935,0.013333,155.27
0.46948,0.013333,155.61
0.40349,0.013333,155.96
0.36241,0.013333,156.3
0.28166,0.013333,156.65
0.25099,0.013333,156.99
0.22889,0.013333,157.34
0.16318,0.013333,157.68
0.18959,0.013333,158.02
0.083904,0.013333,158.37
0.084705,0.013333,158.71
0.05713,0.013333,159.06
0.049919,0.013333,159.4
0.041311,0.013333,159.74
0.049881,0.013333,160.09
0.078895,0.013333,160.43
0.03674,0.013333,160.78
0.062801,0.013333,161.12
0.030556,0.013333,161.47
0.047285,0.013333,161.81
0.032218,0.013333,162.15
0.063886,0.013333,162.5
0.066349,0.013333,162.84
0.025693,0.013333,163.19
0.061296,0.013333,163.53
0.033492,0.013333,163.88
0.07998,0.013333,164.22
0.064701,0.013333,164.56
0.031299,0.013333,164.91
0.03177,0.013333,165.25
0.076969,0.013333,165.6
0.029815,0.013333,165.94
0.048636,0.013333,166.29
0.093811,0.013333,166.63
0.083857,0.013333,166.97
0.082219,0.013333,167.32
0.14754,0.013333,167.66
0.1907,0.013333,168.01
0.094257,0.013333,168.35
0.13556,0.013333,168.7
0.20133,0.013333,169.04
0.10954,0.013333,169.38
0.13933,0.013333,169.73
0.13408,0.013333,170.07
0.14852,0.013333,170.42
0.15051,0.013333,170.76
0.14205,0.013333,171.11
0.19977,0.013333,171.45
0.12125,0.013333,171.79
0.22778,0.013333,172.14
0.2605,0.013333,172.48
0.28519,0.013333,172.83
0.23864,0.013333,173.17
0.1963,0.013333,173.52
0.24595,0.013333,173.86
0.19688,0.013333,174.2
0.26959,0.013333,174.55
0.22654,0.013333,174.89
0.18183,0.013333,175.24
0.18548,0.013333,175.58
0.19243,0.013333,175.93
0.24529,0.013333,176.27
0.29883,0.013333,176.61
0.3006,0.013333,176.96
0.33297,0.013333,177.3
0.27816,0.013333,177.65
0.39775,0.013333,177.99
0.47357,0.013333,178.34
0.58959,0.013333,178.68
0.66569,0.013333,179.02
0.70638,0.013333,179.37
